place_id,name,category,address,latitude,longitude,is_parking_available,is_stroller_accessible,has_nursing_room,no_kids_zone
46,뚝섬한강공원,공원/야외,서울 광진구 강변북로 139,37.531,127.0664,TRUE,TRUE,FALSE,FALSE
47,망원한강공원,공원/야외,서울 마포구 마포나루길 467,37.5558,126.9022,TRUE,TRUE,FALSE,FALSE
48,난지한강공원,공원/야외,서울 마포구 한강난지로 162,37.5662,126.877,TRUE,TRUE,FALSE,FALSE
49,양화한강공원,공원/야외,서울 영등포구 노들로 221,37.5385,126.903,TRUE,TRUE,FALSE,FALSE
50,이촌한강공원,공원/야외,서울 용산구 이촌로72길 62,37.5173,126.9723,TRUE,TRUE,FALSE,FALSE
51,잠실한강공원,공원/야외,서울 송파구 한가람로 65,37.518,127.083,TRUE,TRUE,FALSE,FALSE
52,광나루한강공원,공원/야외,서울 강동구 선사로 83-106,37.5488,127.121,TRUE,TRUE,FALSE,FALSE
53,북한산국립공원,공원/야외,서울 강북구 삼양로173길 52,37.6608,126.994,TRUE,TRUE,FALSE,FALSE
54,월드컵공원,공원/야외,서울 마포구 하늘공원로 84,37.5637,126.8926,TRUE,TRUE,FALSE,FALSE
55,올림픽공원,공원/야외,서울 송파구 올림픽로 424,37.5207,127.1215,TRUE,TRUE,FALSE,FALSE
56,보라매공원,공원/야외,서울 동작구 여의대방로20길 33,37.4925,126.9194,TRUE,TRUE,FALSE,FALSE
57,북서울꿈의숲,공원/야외,서울 강북구 월계로 173,37.6209,127.0416,TRUE,TRUE,FALSE,FALSE
58,서울식물원,공원/야외,서울 강서구 마곡동로 161,37.5694,126.8353,TRUE,TRUE,FALSE,FALSE
59,용산공원,공원/야외,서울 용산구 서빙고로 221,37.5245,126.991,TRUE,TRUE,FALSE,FALSE
60,청계천,공원/야외,서울 종로구 청계천로 1,37.5691,126.9778,TRUE,TRUE,FALSE,FALSE
61,가로수길,팝업스토어,서울 강남구 압구정로12길 1,37.5204,127.023,TRUE,TRUE,FALSE,FALSE
62,압구정로데오,팝업스토어,서울 강남구 압구정로46길 1,37.5273,127.0384,TRUE,TRUE,FALSE,FALSE
63,삼청동,미술관/전시,서울 종로구 삼청로 1,37.5815,126.9818,TRUE,TRUE,FALSE,FALSE
64,인사동,문화유산/역사,서울 종로구 인사동길 12,37.5743,126.9847,TRUE,TRUE,FALSE,FALSE
65,대학로,복합문화공간,서울 종로구 대학로 101,37.5822,127.0019,TRUE,TRUE,FALSE,FALSE
66,이대·신촌,카페/식음,서울 서대문구 신촌로 99,37.5567,126.938,TRUE,TRUE,FALSE,FALSE
67,건대입구,카페/식음,서울 광진구 아차산로 241,37.5404,127.07,TRUE,TRUE,FALSE,FALSE
68,용리단길,카페/식음,서울 용산구 한강대로52길 1,37.5305,126.972,TRUE,TRUE,FALSE,FALSE
69,문래창작촌,복합문화공간,서울 영등포구 도림로128길 1,37.514,126.897,TRUE,TRUE,FALSE,FALSE
70,서촌,문화유산/역사,서울 종로구 자하문로 1,37.5775,126.972,TRUE,TRUE,FALSE,FALSE
71,강남역,카페/식음,서울 강남구 강남대로 396,37.4979,127.0276,TRUE,TRUE,FALSE,FALSE
72,홍대입구역,복합문화공간,서울 마포구 양화로 160,37.5575,126.9245,TRUE,TRUE,FALSE,FALSE
73,샤로수길,카페/식음,서울 관악구 관악로14길 1,37.4795,126.953,TRUE,TRUE,FALSE,FALSE
74,경기도육아종합지원센터 (수원),공연/전시,경기 수원시 수원 SK아트리움 대공연장,37.2636,127.0286,TRUE,TRUE,TRUE,FALSE
75,성남 탄천 야외 물놀이장,공연/전시,경기 성남시 성남아트센터 오페라하우스,37.4449,127.1388,TRUE,TRUE,TRUE,FALSE
76,용인 포은아트홀,공연/전시,경기 부천시 부천 중앙공원 야외음악당,37.6584,126.832,TRUE,TRUE,TRUE,FALSE
