source_site,category,place_or_event_name,period,target_age,region,fee_info,description,booking_url,ai_tags,crawled_at,theme_tags,congestion_score,popularity_score,theme_ids,theme_detail,origin,end_date,popularity_src,region_group
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),한이제 오보에 독주회,2026-10-02 ~ 2026-10-02,만 6세 이상,"서울 강북구 월계로 173 (번동) | 위도:37.6214312, 경도:127.0406246","전석 20,000원","[PROGRAM] Charles Koechlin (1867-1950) 14 Pièces pour Hautbois et Piano, Op. 179 No. 1, Andante con moto, quasi allegretto moderato No. 2, Allegretto, pas vite No. 3, Andante No. 4, Allegro, assez animé, gai, solide No. 5, Très doux, presque adagio Francis Poulenc (1899-1963) Sonata for Oboe and Pia…",https://www.sejongpac.or.kr/dfac/dfacPerformance/dfacPerformance/performTicket.do?performIdx=37617&menuNo=1200007,"genre=서양음악(클래식);venue=꿈의숲아트센터 (콘서트홀);runtime=1시간 30분;cast=한이제, 김하은;producer=영음예술기획;state=공연예정;showtime=금요일(19：30);seats=584;tel=02-2289-5401;parking:1.0;cafe:1.0;restaurant:1.0;store:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;공공(기타):1.0,,,concert,concert,kopis,2026-10-02,,capital
KOPIS 공연예술통합전산망 | 대중음악,대중음악,"경이로운 금요일, Headbanger Week with Dog Last Page X XINNER",2026-09-11 ~ 2026-09-11,전체 관람가,"서울 마포구 독막로8길 7 (합정동) | 위도:37.547514, 경도:126.918374","현장판매 35,000원, 사전예약 30,000원",대중음악 · 우무지 (우무지) · 러닝타임 1시간 40분,https://ticket.melon.com/performance/index.htm?prodId=213847,"genre=대중음악;venue=우무지 (우무지);runtime=1시간 40분;cast=홍성훈, 김홍기, 한영규, 서정현 등;producer=(사) 코드(우무지);state=공연중;showtime=금요일(19：30);seats=100;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,,concert,concert,kopis,2026-09-11,,capital
KOPIS 공연예술통합전산망 | 무용(서양/한국무용),무용(서양/한국무용),"M극장 X 여니스트 컴퍼니 공동기획, META M: BEYOND HUMAN",2026-10-09 ~ 2026-10-10,만 7세 이상,"서울 강남구 논현로4길 36 (개포동) | 위도:37.4736304, 경도:127.05291920000002","전석 50,000원",무용(서양/한국무용) · M극장 (M극장) · 러닝타임 2시간,https://booking.naver.com/booking/12/bizes/1480651,"genre=무용(서양/한국무용);venue=M극장 (M극장);runtime=2시간;cast=김대식, 손현녕, 김제영, 김재우, 김영진, 구은혜, 김혜연;producer=M극장(M Theater), 여니스트 컴퍼니;state=공연예정;showtime=HOL(19：30), 토요일(15：00);seats=150;tel=02-578-6812;parking:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,dance:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,,concert,concert,kopis,2026-10-10,,capital
KOPIS 공연예술통합전산망 | 대중음악,대중음악,JUNE 1ST CONCERT: DEAR MY BLUE,2026-10-09 ~ 2026-10-09,만 7세 이상,"서울 마포구 잔다리로 32(서교동) | 위도:37.5515788, 경도:126.9198284","전석 66,000원",대중음악 · 무신사 개러지 (구. 왓챠홀) (무신사 개러지 (구. 왓챠홀) ) · 러닝타임 1시간 30분,https://ticket.29cm.co.kr/catalog/4198818,genre=대중음악;venue=무신사 개러지 (구. 왓챠홀) (무신사 개러지 (구. 왓챠홀) );runtime=1시간 30분;cast=이준희;producer=(주)미드나잇웨이브;state=공연예정;showtime=HOL(19：00);seats=144;tel=02-3144-0409;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,,concert,concert,kopis,2026-10-09,,capital
KOPIS 공연예술통합전산망 | 연극,연극,아직 안 떠났소 [인천],2026-10-07 ~ 2026-10-10,만 9세 이상,"인천 서구 완정로 144 (마전동) | 위도:37.601085, 경도:126.660356",전석무료,연극 · 문화공간터틀 검단 (문화공간터틀 검단(4F)) · 러닝타임 1시간 20분,https://www.enticket.com:469/pfm/sub01_view.html?p_idx=4393,"genre=연극;venue=문화공간터틀 검단 (문화공간터틀 검단(4F));runtime=1시간 20분;cast=이범우, 장혜선, 주안, 김슬기, 박우신, 문정현, 양인혁;state=공연예정;showtime=수요일 ~ 목요일(19：00), HOL(14：00,17：00), 토요일(14：00);seats=60;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;공공(기타):1.0,,,concert,concert,kopis,2026-10-10,,capital
KOPIS 공연예술통합전산망 | 무용(서양/한국무용),무용(서양/한국무용),"제4회 PLOT STAGE, Nonfiction MUTE",2026-10-10 ~ 2026-10-11,만 12세 이상,"서울 서대문구 연세로4길 27(창천동) | 위도:37.5576008, 경도:126.9381984","전석 20,000원",무용(서양/한국무용) · 극장 PLOT (극장 PLOT) · 러닝타임 50분,https://www.tinyticket.net/event/EVAraznvwpk4,"genre=무용(서양/한국무용);venue=극장 PLOT (극장 PLOT);runtime=50분;cast=조현도, 김나의, 이진우;producer=디아트리베(Diatribae);state=공연예정;showtime=토요일 ~ 일요일(17：00);festival:1.0;seats=100;tel=010-4334-2862;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,dance:1.0;performance:1.0;indoor:1.0;festival:1.0;민간(대학로 외):1.0,,,concert,concert,kopis,2026-10-11,,capital
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),아리랑 코러스 서울 정기 연주회 [성남],2026-10-10 ~ 2026-10-10,만 7세 이상,"경기 성남시 분당구 성남대로 808 (야탑동) | 위도:37.4027309, 경도:127.13124349999998","R석 50,000원, S석 30,000원, A석 20,000원",서양음악(클래식) · 성남아트센터 (콘서트홀) · 러닝타임 1시간 30분,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26012998,"genre=서양음악(클래식);venue=성남아트센터 (콘서트홀);runtime=1시간 30분;cast=이명자, 김나혜, 박희라 등;producer=지클레프;state=공연예정;showtime=토요일(19：00);seats=5174;tel=031-783-8000;parking:1.0;cafe:1.0;restaurant:1.0;playroom:1.0;nursing_room:1.0;barrier_free_parking:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;공공(문예회관):1.0,,,concert,concert,kopis,2026-10-10,,capital
KOPIS 공연예술통합전산망 | 연극,연극,"제6회 첫걸음 페스티벌, 클라우드 쿠쿠랜드",2026-10-10 ~ 2026-10-11,만 12세 이상,"서울 종로구 동숭길 74 (동숭동) | 위도:37.5815333, 경도:127.0043015","전석 30,000원",연극 · 소극장 플랫폼74 (소극장 플랫폼74) · 러닝타임 1시간,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26012909,"genre=연극;venue=소극장 플랫폼74 (소극장 플랫폼74);runtime=1시간;cast=박윤경, 박윤주, 신예슬, 이재훈, 이혜민, 장해찬;producer=큰새(TEAM BIG BIRD);state=공연예정;showtime=토요일 ~ 일요일(15：00,18：00);daehakro:1.0;festival:1.0;seats=70;tel=010-5150-9402;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;festival:1.0;daehakro:1.0;민간(대학로):1.0,,,concert,concert,kopis,2026-10-11,,capital
KOPIS 공연예술통합전산망 | 한국음악(국악),한국음악(국악),"서울 커넥트 스테이지 ON, 전통 (15시)",2026-09-19 ~ 2026-09-19,전체 관람가,"서울 강북구 솔샘로48길 14 (미아동) | 위도:37.61955, 경도:127.017607","전석 20,000원",한국음악(국악) · 서울문화예술교육센터 강북 (예술당솔샘(2F)) · 러닝타임 1시간 10분,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26012855,"genre=한국음악(국악);venue=서울문화예술교육센터 강북 (예술당솔샘(2F));runtime=1시간 10분;cast=김가현, 박재혁, 이산, 황지원, 임기원;producer=고제 가야금병창 연구회 비고, 올리뮤직;state=공연예정;showtime=토요일(15：00);festival:1.0;seats=10;tel=02-2105-2319;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,traditional:1.0;performance:1.0;indoor:1.0;festival:1.0;민간(대학로 외):1.0,,,concert,concert,kopis,2026-09-19,,capital
KOPIS 공연예술통합전산망 | 뮤지컬,뮤지컬,시베리아에는 도착이 없다 [대학로],2026-10-01 ~ 2026-10-04,만 12세 이상,"서울 종로구 동숭길 78 (동숭동) 지하1층 | 위도:37.5817072, 경도:127.00428190000002","전석 20,000원",뮤지컬 · 코델아트홀 (코델아트홀) · 러닝타임 1시간 10분,http://playticket.co.kr/nav/detail.html?idx=4569,"genre=뮤지컬;venue=코델아트홀 (코델아트홀);runtime=1시간 10분;cast=나유정, 김다엘, 이태윤;producer=프로젝트 여로;state=공연예정;showtime=목요일 ~ 금요일(19：30), 토요일(15：00,18：00), 일요일(18：00);daehakro:1.0;seats=120;tel=010-6802-1974;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,musical:1.0;performance:1.0;indoor:1.0;daehakro:1.0;민간(대학로):1.0,,,concert,concert,kopis,2026-10-04,,capital
KOPIS 공연예술통합전산망 | 대중음악,대중음악,백식 (BAEKSIK) 단독 콘서트: BAEKSIK THE ARCHIVE Vol.Ⅰ Bar 110,2026-10-03 ~ 2026-10-03,만 12세 이상,"서울 마포구 양화로 100-10 (서교동) | 위도:37.5524844, 경도:126.91899269999999","전석 35,000원","대중음악 · 플렉스라운지 (구. 스테이라운지, 구. 인디팍) (플렉스라운지 (구. 스테이라운지, 구. 인디팍)) · 러닝타임 2시간",https://booking.naver.com/booking/5/bizes/1728045,"genre=대중음악;venue=플렉스라운지 (구. 스테이라운지, 구. 인디팍) (플렉스라운지 (구. 스테이라운지, 구. 인디팍));runtime=2시간;cast=장백식 등;state=공연예정;showtime=토요일(17：00);seats=150;tel=010-7702-0100;parking:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,,concert,concert,kopis,2026-10-03,,capital
KOPIS 공연예술통합전산망 | 대중음악,대중음악,희규 단독 콘서트: 도시 라디오,2026-10-10 ~ 2026-10-10,전체 관람가,"서울 마포구 창전로 14 (신정동) CJ아지트 | 위도:37.5442311, 경도:126.93044699999996","전석 66,000원",대중음악 · CJ아지트 광흥창 (CJ아지트 광흥창) · 러닝타임 1시간 30분,https://ticket.melon.com/performance/index.htm?prodId=213839,genre=대중음악;venue=CJ아지트 광흥창 (CJ아지트 광흥창);runtime=1시간 30분;cast=안희규;producer=주식회사 원더로크;state=공연예정;showtime=토요일(18：00);seats=250;tel=02-3272-2616;barrier_free_restroom:1.0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,,concert,concert,kopis,2026-10-10,,capital
