area_cd,area_nm,lat,lng,congest_lvl,congest_msg,ppltn_min,ppltn_max,rate_age_0_9,resnt_rate,measured_at,fcst_time,fcst_congest_lvl,collected_at
POI020,구로역,37.50334155631282,126.88230806229326,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,0.1,12.9,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI021,군자역,37.557151488837924,127.0795106156054,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6500,7000,0.4,23.4,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI023,대림역,37.4933099444417,126.894931036051,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,2.0,67.4,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI024,동대문역,37.57166940579655,127.0106338108367,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,0.1,5.9,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI025,뚝섬역,37.547241554679,127.04738727881,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9000,9500,1.5,44.7,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI026,미아사거리역,37.61327836400571,127.03008663628454,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,0.4,10.5,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI027,발산역,37.558677743241596,126.83773640693936,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,8500,9000,0.4,19.0,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI029,사당역,37.47656223234824,126.98155858357366,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,0.3,15.7,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI030,삼각지역,37.5344393447708,126.972922951307,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,1.4,30.8,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI031,서울대입구역,37.4812845080678,126.952713197762,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,0.0,18.1,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI032,서울식물원·마곡나루역,37.56635914919501,126.82723611271075,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6000,6500,3.4,50.7,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI033,서울역,37.55332892758497,126.96974961781686,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,1.0,32.7,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI034,선릉역,37.505167825521674,127.04870992465413,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,32000,34000,1.7,44.3,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI035,성신여대입구역,37.59296812939267,127.0171260607647,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,7000,7500,0.4,6.7,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI036,수유역,37.63788539420793,127.02550910860451,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,0.2,20.8,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI037,신논현역·논현역,37.504811111562,127.025492036104,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,1.0,39.3,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI038,신도림역,37.508908482648,126.891312500851,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,8500,9000,2.7,43.1,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI039,신림역,37.484267135140364,126.9297453749671,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,0.1,18.0,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI040,신촌·이대역,37.557329672494916,126.9435997720125,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,32000,34000,1.1,35.0,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI041,양재역,37.48457681195669,127.03416413380752,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,1.6,42.9,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI042,역삼역,37.5006744185994,127.03646946847,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,20000,22000,1.1,50.6,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI043,연신내역,37.61920414913163,126.92110296894133,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,8000,8500,0.2,16.1,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI044,오목교역·목동운동장,37.5245340839144,126.875307312696,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,70000,72000,5.9,58.7,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI045,왕십리역,37.561268363317176,127.03710337610202,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,18000,20000,2.7,48.9,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI046,용산역,37.5300763645794,126.964824061815,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,28000,30000,0.4,3.3,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI047,이태원역,37.5345252050511,126.994333861918,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,5000,0.3,11.3,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI048,장지역,37.4786316933099,127.12617656737,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,2.8,44.5,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI049,장한평역,37.5616038910656,127.06370373106944,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8000,8500,0.4,22.7,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI050,천호역,37.5385112120297,127.12392845044,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,0.3,12.0,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI051,총신대입구(이수)역,37.48528852311765,126.98167629035197,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,0.3,14.5,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI052,충정로역,37.56042867918723,126.96303964820936,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6500,7000,2.0,55.8,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI053,합정역,37.54991315995173,126.91445406513526,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,1.0,41.2,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI054,혜화역,37.58204391787134,127.00194500977393,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,18000,20000,0.8,24.9,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI055,홍대입구역(2호선),37.5568707448873,126.923778562273,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,20000,22000,0.6,24.1,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI056,회기역,37.5897962196601,127.058048369273,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,9500,10000,0.1,23.9,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI058,가락시장,37.4938884413034,127.110927336635,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,6500,7000,0.3,16.7,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI059,가로수길,37.520819816124934,127.02272940977892,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,1.5,37.9,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI060,광장(전통)시장,,,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,3000,3500,0.9,33.5,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI061,김포공항,,,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6000,6500,0.4,2.9,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI063,노량진,37.5136058564068,126.94539042276,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,20000,22000,1.1,41.4,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI064,덕수궁길·정동길,,,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,1.0,32.7,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI066,북촌한옥마을,37.581768153833444,126.98481245064092,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,0.7,31.5,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI067,서촌,,,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,2.0,57.4,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI068,성수카페거리,37.5464440372535,127.043028992489,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,28000,30000,0.9,32.9,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI070,쌍문역,37.6485426057036,127.03465609756,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,6500,7000,0.3,31.1,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI071,압구정로데오거리,37.5267558230172,127.039152029523,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,22000,24000,1.8,43.1,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI072,여의도,,,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,88000,90000,1.2,42.1,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI073,연남동,,,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,10000,12000,1.0,37.5,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI074,영등포 타임스퀘어,37.5172951503156,126.90393083403768,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,0.4,3.4,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI076,용리단길,37.5314514583385,126.972204479602,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,5500,6000,2.3,45.8,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI077,이태원 앤틱가구거리,37.5335268984122,126.994383719145,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,5000,5500,1.3,44.3,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI078,인사동,37.5745467832909,126.985591616819,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,0.7,30.8,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI079,창동 신경제 중심지,,,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,32000,34000,0.3,18.3,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI080,청담동 명품거리,37.5261262382238,127.046048046817,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,4500,0.2,11.4,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI081,청량리 제기동 일대 전통시장,,,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,1.9,43.5,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI082,해방촌·경리단길,37.5390142761733,126.986688076957,붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,5500,6000,0.2,23.0,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI083,DDP(동대문디자인플라자),37.5671843130818,127.009911013917,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,6500,7000,1.2,26.0,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI084,DMC(디지털미디어시티),37.5761512717257,126.89876332752651,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,20000,22000,2.5,51.7,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI085,강서한강공원,37.58837414475718,126.81312520288417,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,0.3,1.3,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI086,고척돔,,,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,0.5,19.3,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI087,광나루한강공원,37.54413379806722,127.1183161576554,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,4500,5000,0.5,10.7,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI088,광화문광장,37.572602860810186,126.97691639601517,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,1.0,24.9,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI089,국립중앙박물관·용산가족공원,37.52213429230196,126.98199081507367,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,3.9,46.0,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI090,난지한강공원,37.5670399093241,126.875607758973,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,2500,3000,1.3,4.7,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI091,남산공원,37.5524979951415,126.989316855952,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,1.0,24.8,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI092,노들섬,37.51766013568054,126.95803386590158,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,300,400,1.1,5.5,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI093,뚝섬한강공원,37.5292974433415,127.06892112991,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,4500,5000,0.5,11.8,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI094,망원한강공원,37.5517245459018,126.900027640945,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,2000,2500,1.6,29.1,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI095,반포한강공원,37.51081992690844,126.99716104081192,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,4500,5000,0.5,1.7,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI096,북서울꿈의숲,37.62360650548208,127.04157251496886,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,5500,6000,0.4,42.5,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI098,서리풀공원·몽마르뜨공원,37.4911365828733,127.000615134838,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,4000,0.5,28.6,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI100,서울대공원,37.5495622092927,127.081093645129,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,5500,6000,6.0,7.5,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI101,서울숲공원,37.5443222301513,127.037617759165,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,4500,5000,1.4,18.6,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI102,아차산,37.55224917071854,127.08956495447913,붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,5000,5500,0.3,32.9,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI103,양화한강공원,37.5378083426973,126.90293825104,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,1000,1500,0.9,10.0,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI104,어린이대공원,37.55147044344215,127.08378909469191,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,4000,4500,1.6,37.1,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI105,여의도한강공원,37.52638860108943,126.93512931714196,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,5500,6000,1.0,11.7,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI106,월드컵공원,37.5631939895966,126.897635431027,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,8000,8500,1.9,28.7,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI107,응봉산,37.5482528089186,127.029834156041,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,2500,3000,0.7,33.2,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
