source_site,category,place_or_event_name,period,target_age,region,fee_info,description,booking_url,ai_tags,crawled_at,theme_tags,congestion_score,popularity_score
KOPIS 공연예술통합전산망 | 뮤지컬,뮤지컬,팥죽 할멈과 호랑이 [김포],2026-10-09 ~ 2026-10-31,전체 관람가,"경기 김포시 양촌읍 석모로 103 (석모리) | 위도:37.651561, 경도:126.6394602","전석 30,000원",뮤지컬 · 김포한강괜찮은홀 (김포한강괜찮은홀) · 러닝타임 50분,https://booking.naver.com/booking/12/bizes/748615,"genre=뮤지컬;venue=김포한강괜찮은홀 (김포한강괜찮은홀);runtime=50분;cast=안근후, 최설아, 오은진;producer=극단 천사의노래;state=공연예정;showtime=토요일(12：00,14：00), HOL(12：00,14：00);child_show:1.0;seats=110;tel=070-8886-2516;parking:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,musical:1.0;performance:1.0;indoor:1.0;kids:1.0;민간(대학로 외):1.0,,
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),"제16회 강동예술인페스티벌, 강동구립청소년교향악단 창단 30주년 연주회: New Horizons",2026-09-20 ~ 2026-09-20,만 4세 이상,"서울 강동구 동남로 870 (상일동) | 위도:37.5512621, 경도:127.15761910000003",전석무료,[PROGRAM] M.Glinka Overture “Ruslan and Ludmila” A.Dvorak Symphony No. 9 “From the New World”,https://www.gdfac.or.kr/product/performance/258479,genre=서양음악(클래식);venue=강동아트센터 (대극장 한강);runtime=1시간 40분;cast=김지혜 등;state=공연예정;showtime=일요일(18：30);festival:1.0;seats=3240;tel=02-440-0500;parking:1.0;cafe:1.0;playroom:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;festival:1.0;공공(문예회관):1.0,,
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),이 마음은 편지로 하고 싶어서 [대구],2026-10-07 ~ 2026-10-07,만 7세 이상,"대구 달서구 공원순환로 201 (성당동) | 위도:35.8446585, 경도:128.55874089999998","전석 10,000원",서양음악(클래식) · 대구문화예술회관 (비슬홀) · 러닝타임 1시간 10분,http://www.ticketlink.co.kr/product/65555,"genre=서양음악(클래식);venue=대구문화예술회관 (비슬홀);runtime=1시간 10분;cast=김효진, 정희정, 허후, 박지영 등;producer=불리우는봄;state=공연예정;showtime=수요일(19：30);seats=2327;tel=053-606-6114;parking:1.0;barrier_free_parking:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;공공(문예회관):1.0,,
KOPIS 공연예술통합전산망 | 대중음악,대중음악,"고요, 비눗방울, 우주 LIVE Scene #4 feat. Awan我完아완",2026-09-19 ~ 2026-09-19,전체 관람가,"부산 중구 대청로126번길 26-1 (동광동2가) | 위도:35.100496, 경도:129.034248","전석 20,000원",대중음악 · 매일이 다르다 [부산] (매일이 다르다(1F)) · 러닝타임 1시간 30분,https://booking.naver.com/booking/5/bizes/1724619,genre=대중음악;venue=매일이 다르다 [부산] (매일이 다르다(1F));runtime=1시간 30분;state=공연예정;showtime=토요일(20：00);seats=0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;기타(비공연장):1.0,,
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),"온: 콘서트, 코르타도의 Dandelion Parade",2026-10-03 ~ 2026-10-03,만 7세 이상,"서울 송파구 송파대로37길 50 (석촌동) | 위도:37.5002447, 경도:127.1066645","전석 25,000원",서양음악(클래식) · 온쉼표 (온쉼표) · 러닝타임 1시간 10분,https://booking.naver.com/booking/12/bizes/1246855,"genre=서양음악(클래식);venue=온쉼표 (온쉼표);runtime=1시간 10분;cast=윤예지, 신주연, 이용운;state=공연예정;showtime=토요일(17：00);seats=0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;기타(비공연장):1.0,,
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),오르페우스 오페라단 10주년 기념 오페라 갈라 콘서트,2026-09-28 ~ 2026-09-28,만 6세 이상,"서울 종로구 세종대로 175 (세종로) | 위도:37.5725254, 경도:126.97564290000003","VIP석 50,000원, R석 30,000원, S석 20,000원","[PROGRAM] 1부 Opera _ Celeste Aida / Ten 전병운 Opera _ La ci darem la mano / Bar 션치안루이, Sop 엄원영 Opera _ Song to the moon / Sop 김선화 Opera _ O Paradiso / Ten 신희영 Opera _ Barcarolle / Sop 황신애, M.Sop 기수정 Opera _ Ebben? Ne andro lontana / Sop 노황미 Opera _ È la solita storia del pastore / Ten 김민수 Opera _ Lipp…",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=37608&menuNo=200320,"genre=서양음악(클래식);venue=세종문화회관 (세종체임버홀);runtime=2시간 5분;cast=노황미, 맹연선, 엄원영, 전수빈, 정하라, 황신애, 기수정 등;producer=오르페우스 오페라단;state=공연예정;showtime=월요일(19：30);seats=5372;tel=02-399-1000;parking:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;공공(문예회관):1.0,,
KOPIS 공연예술통합전산망 | 연극,연극,"포천시립극단 기획공연, 고전희곡으로 보는 세계여행, 스페인: 돈 키호테 데 라만차 [포천]",2026-09-11 ~ 2026-09-12,만 4세 이상,"경기 포천시 군내면 청성로 111 | 위도:37.8958535, 경도:127.21221459999992",전석무료,"[공연소개] 고전희곡으로 보는 세계여행, 세번째 여행지 [스페인]으로 떠납니다. 스페인의 작가 미겔 데 세르반테스의 명작 를 희곡으로 각색하여 온가족이 즐길 수 있도록 쉽고 재미있게 연극공연으로 꾸몄습니다. 세상 그 누구보다 자유로웠고 원대한 꿈을 가졌던 편력기사 돈 키호테의 우당탕탕, 포복절도 모험속으로 함께 떠나요.",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26012284,"genre=연극;venue=포천반월아트홀 (소극장);runtime=1시간 10분;state=공연중;showtime=금요일(19：30), 토요일(15：00);seats=1162;tel=031-540-6213;parking:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;공공(문예회관):1.0,,
KOPIS 공연예술통합전산망 | 대중음악,대중음악,JX TOUR CONCERT: CORE [인천],2026-10-09 ~ 2026-10-11,만 7세 이상,"인천 중구 공항문화로 127 (운서동) | 위도:37.4655301, 경도:126.3891177","VIP석 198,000원, R석 165,000원",대중음악 · 인스파이어 엔터테인먼트 리조트 (아레나) · 러닝타임 2시간 30분,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26012479,"genre=대중음악;venue=인스파이어 엔터테인먼트 리조트 (아레나);runtime=2시간 30분;cast=김재중, 김준수;producer=라우드펀투게더(Loud Fun Together), 라우드펀투게더(Loud Fun Together);state=공연예정;showtime=HOL(18：00), 토요일 ~ 일요일(17：00);seats=18483;boxoffice_rank:2;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,98.0
KOPIS 공연예술통합전산망 | 연극,연극,하녀들 [부산],2026-10-08 ~ 2026-10-11,만 12세 이상,"부산 남구 수영로 지하 242 (대연동) | 위도:35.1342618, 경도:129.0944425","전석 30,000원",연극 · 공간소극장 [대연역] (공간소극장 [대연역] ) · 러닝타임 1시간 30분,https://booking.naver.com/booking/12/bizes/1108700,"genre=연극;venue=공간소극장 [대연역] (공간소극장 [대연역] );runtime=1시간 30분;cast=길수경, 이현주, 임민경;producer=극단적즐거움;state=공연예정;showtime=목요일(19：30), 토요일 ~ 일요일(15：00), HOL(15：00);seats=60;tel=051-611-8518;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,
KOPIS 공연예술통합전산망 | 연극,연극,강아지똥 [장성],2026-09-19 ~ 2026-09-19,36개월 이상,"전남광주 장성군 장성읍 문화로 110 | 위도:35.3022066, 경도:126.76655010000002","전석 4,000원","[공연소개] 💩 강아지똥이 들려주는 세상에서 가장 따뜻한 이야기 🌼 “나는 아무 쓸모가 없는 걸까?” 모두에게 외면받던 작은 강아지똥이 민들레꽃을 만나 아름다운 희망으로 피어납니다. 🌱 아이에게는 따뜻한 감동을, 어른에게는 잊고 있던 순수함을 전하는 가족 연극 <강아지똥〉을 만나보세요! 💛",http://jsac.moonhwain.net/rsvc/rsv_pm.html?b_id=jsac&p_idx=192,"genre=연극;venue=장성문화예술회관 (대공연장);cast=정래석, 이희연, 안중현, 고예본, 오명준, 류제원, 남희진;state=공연예정;showtime=토요일(11：00,15：00);child_show:1.0;seats=883;tel=061-390-7552;parking:1.0;cafe:1.0;restaurant:1.0;store:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;kids:1.0;공공(문예회관):1.0,,
KOPIS 공연예술통합전산망 | 대중음악,대중음악,인생은 오디션 TOP 5 콘서트 [서울],2026-10-09 ~ 2026-10-10,만 7세 이상,"서울 종로구 동숭길 100 | 위도:37.5820171, 경도:127.00353629999995","R석 121,000원, S석 110,000원",대중음악 · NOL 씨어터 대학로 (구. 대학로뮤지컬센터) (우리카드홀 ) · 러닝타임 2시간,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26013199,"genre=대중음악;venue=NOL 씨어터 대학로 (구. 대학로뮤지컬센터) (우리카드홀 );runtime=2시간;cast=지영일, 박민수, 김중연, 최대성, 이진호;producer=(주)다날스테이지;state=공연예정;showtime=금요일(13：00,18：00), 토요일(13：00,18：00);daehakro:1.0;seats=2693;parking:1.0;cafe:1.0;restaurant:1.0;barrier_free_parking:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;daehakro:1.0;민간(대학로):1.0,,
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),"앳모스피어 뮤직 시리즈, AUTUMN LIGHT",2026-10-10 ~ 2026-10-10,전체 관람가,"경기 남양주시 수동면 축령산로165번길 44 | 위도:37.754607, 경도:127.313159","전석 70,000원",서양음악(클래식) · 앳모스피어 뮤직홀 (앳모스피어 뮤직홀) · 러닝타임 1시간 10분,https://booking.naver.com/booking/12/bizes/1443938,"genre=서양음악(클래식);venue=앳모스피어 뮤직홀 (앳모스피어 뮤직홀);runtime=1시간 10분;cast=송영민, 이신규;producer=에이엠피(AMP) 앳모스피어(Atmosphere);state=공연예정;showtime=토요일(13：00);seats=0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,
KOPIS 공연예술통합전산망 | 대중음악,대중음악,"먼데이프로젝트 시즌9: Stardust, 적란운 X love is cycle",2026-09-28 ~ 2026-09-28,전체 관람가,"서울 서대문구 신촌역로 13 (대현동) | 위도:37.557804, 경도:126.942583","전석 33,000원",대중음악 · 아지토 라이브 홀 (라이브 홀 ) · 러닝타임 1시간 50분,https://ticket.melon.com/performance/index.htm?prodId=213856,genre=대중음악;venue=아지토 라이브 홀 (라이브 홀 );runtime=1시간 50분;producer=(주)엔터크라우드;state=공연예정;showtime=월요일(20：00);seats=0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,
KOPIS 공연예술통합전산망 | 연극,연극,탠덤,2026-10-01 ~ 2026-10-11,만 14세 이상,"서울 성북구 성북로5길 9-3 (성북동1가) | 위도:37.5889086, 경도:127.00463660000003","전석 39,000원",연극 · 여행자극장 (여행자극장) · 러닝타임 1시간 30분,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26012896,"genre=연극;venue=여행자극장 (여행자극장);runtime=1시간 30분;cast=김기주, 최이레, 백익남, 김지혜, 이호준, 여정현;producer=프로젝트그룹 낙타, 프로젝트그룹 낙타;state=공연예정;showtime=화요일 ~ 금요일(19：30), 토요일 ~ 일요일(16：00), HOL(16：00);daehakro:1.0;seats=100;tel=070-7918-9077;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;daehakro:1.0;민간(대학로):1.0,,
KOPIS 공연예술통합전산망 | 대중음악,대중음악,"먼데이프로젝트 시즌9, 우예린 단독 콘서트: 화음 (花音) Ⅱ",2026-10-01 ~ 2026-10-01,전체 관람가,"서울 마포구 잔다리로 46 (서교동) | 위도:37.5524309, 경도:126.9188172","전석 66,000원",대중음악 · Vel.R 벨르 (구. 벨로주 [홍대]) (Vel.R 벨르 (구. 벨로주 [홍대])) · 러닝타임 1시간 30분,https://ticket.melon.com/performance/index.htm?prodId=213842,genre=대중음악;venue=Vel.R 벨르 (구. 벨로주 [홍대]) (Vel.R 벨르 (구. 벨로주 [홍대]));runtime=1시간 30분;cast=우예린;producer=(주)엔터크라우드;state=공연예정;showtime=목요일(20：00);seats=123;cafe:1.0;barrier_free_parking:1.0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,
KOPIS 공연예술통합전산망 | 대중음악,대중음악,OPCD STAGE: Universe (오피시디 스테이지),2026-10-10 ~ 2026-10-10,만 5세 이상,"서울 도봉구 마들로11길 77 (창동) | 위도:37.6532085, 경도:127.0476838","전석 10,000원",대중음악 · 창동역 (동측 공영주차장) · 러닝타임 8시간,https://ticket.melon.com/performance/index.htm?prodId=213860,"genre=대중음악;venue=창동역 (동측 공영주차장);runtime=8시간;producer=OPCD(오픈창동), 도봉구청;state=공연예정;showtime=토요일(12：00);festival:1.0;seats=0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;festival:1.0;공공(기타):1.0,,
KOPIS 공연예술통합전산망 | 연극,연극,눈,2026-09-19 ~ 2026-09-19,30개월 이상,"서울 송파구 중대로 235(오금동) | 위도:37.5027425, 경도:127.1284004","전석 16,000원","[공연소개] 청소부 광대가 눈을 발견하자, 신나는 놀이가 시작된다! 일상에 지친 청소부 광대는 우연히 눈을 발견하게 되고, 눈을 얻은 대걸레는 살아나 광대의 친구가 된다. 그러던 어느 날, 화난 눈의 양동이 괴물이 나타나는데... 관객참여로 진행되는 무언극 . 누구나 즐길 수 있는 일상 속 놀이를 선물한다",https://booking.naver.com/booking/12/bizes/1408388,"genre=연극;venue=송파어린이문화회관 (아이소리홀);runtime=40분;producer=작은극장 H;state=공연예정;showtime=토요일(15：00,17：00);child_show:1.0;seats=154;tel=02-449-0505;parking:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;kids:1.0;공공(기타):1.0,,
KOPIS 공연예술통합전산망 | 연극,연극,"제23회 호러와 함께 대구국제 힐링공연예술제, 아들은 엄마의 나이를 모른다",2026-10-09 ~ 2026-10-11,만 8세 이상,"대구 중구 경상감영길 294 (동인동2가) | 위도:35.8704081, 경도:128.6118613","전석 30,000원","[공연소개] 연극 '아들은 엄마의 나이를 모른다'는 엄마라는 이름 앞에 자식을 위해 희생만 강요당하는 엄마라는 개인의 삶을 돌아보고 엄마라는 이름 안에 잠자고 있는 고독과 희생을 통해, 잃어버린 가족관계를 돌아보고 박제화 되어가는 우리사회의 아픈 단면을 들여다보고자한다. 또한 극단 온누리의 새로운 레퍼터리 작품으로 매김하여 창의성과 예술성을 확보하고 소극장의 입지와 자생력을 높이고자 한다. [시놉시스] 어느 일요일. 대도시 인근에서 작은 식당을 운영하며 원룸에서 혼자 살고 있는 아들의 집으로 엄마가 방문한다. 평소엔 한 달에 두 번…",http://www.ticketlink.co.kr/product/65554,"genre=연극;venue=예술극장 온 (예술극장 온);runtime=1시간 20분;cast=신숙희, 구진아, 신동우;producer=극단 온누리;state=공연예정;showtime=HOL(19：30), 토요일 ~ 일요일(19：30);festival:1.0;seats=70;tel=053-424-8347;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;festival:1.0;민간(대학로 외):1.0,,
